Country,Sleep hours,Population
Mexico,9.00,"130,262,216"
South Africa,7.04,"60,604,000"
Finland,7.36,"5,548,360"
Netherlands,7.36,"17,173,099"
New Zealand,7.30,"4,860,643"
Estonia,7.25,"1,325,185"
Iceland,7.25,"343,353"
Hungary,7.21,"9,634,164"
Croatia,7.20,"4,081,651"
Belgium,7.18,"11,632,326"
Spain,7.16,"46,745,216"
Japan,7.13,"126,050,804"
Luxembourg,7.12,"634,814"
Austria,7.12,"9,043,070"
United States,7.10,"332,915,073"
Costa Rica,7.05,"5,139,052"
Slovakia,7.05,"5,460,721"
Greece,7.03,"10,370,744"
Czech Republic,7.00,"10,850,000"
Norway,7.00,"5,465,630"
Poland,7.00,"37,797,005"
United Arab Emirates,7.00,"9,991,089"
Argentina,7.00,"45,605,826"
Australia,7.00,"25,788,215"
Denmark,7.00,"5,813,298"
Canada,7.00,"38,067,903"
Romania,6.58,"19,051,562"
Ukraine,6.52,"40,997,698"
Russia,6.45,"145,558,000"
South Korea,6.42,"51,305,186"
United Kingdom,6.39,"68,207,116"
Hong Kong,6.39,"7,402,000"
Colombia,6.37,"51,609,000"
Singapore,6.36,"5,896,686"
Israel,6.36,"9,367,000"
Turkey,6.35,"88,988,675"
India,6.35,"1,428,600,000"
Switzerland,6.30,"8,715,494"
Malaysia,6.27,"32,580,000"
Qatar,6.26,"2,618,000"
France,6.25,"65,426,179"
Indonesia,6.25,"273,700,000"
Taiwan,6.21,"23,375,000"
Kuwait,6.15,"4,052,584"
Philippines,6.08,"113,981,437"
Italy,6.02,"60,367,477"
Saudi Arabia,6.02,"35,950,000"
Ireland,6.00,"4,982,907"
Germany,6.00,"83,900,473"
Portugal,6.00,"10,167,925"
China,6.00,"1,444,216,107"
Slovenia,6.00,"2,078,724"
Chile,6.00,"19,212,361"
Sweden,6.00,"10,160,169"
